Source_1,Target_1,Weight,Source,Target
1185,383,58,General Casualty WI (and/or Regent),Badger Mutual Insurance Co         
27,2119,25,Allied Insurance                   ,Lloyd`s Brit                       
82,51,11,GuideOne Insurance                 ,Penn National Insurance Company    
252,1026,1,Mountain States Mutual Casualty Co ,American National P&C Ins Group    
1184,146,2,Argonaut Group                     ,Commonwealth Insurance Company     
256,1042,1,Great American Custom Insurance    ,Union Mutual Insurance Co.         
145,3373,16,Lexington Risk Specialists         ,Lloyd`s Axis Syndicate 2007        
2318,1133,10,Starr Indemnity and Liability Co   ,Aspen Specialty Insurance Company  
282,90,4,Farm Family Insurance Companies    ,Allstate Insurance Company         
1182,26,12,Financial Pacific Insurance Co     ,Great American Insurance Company   
2190,1051,7,AmTrust Group                      ,FCCI Insurance Company             
324,2058,2,Western Heritage Insurance Company ,"Canopius US Insurance, Inc (Omega) "
207,1010,4,First Nonprofit Insurance Co.      ,State Automobile Mutual Ins.       
54,2318,24,Selective Insurance Group          ,Starr Indemnity and Liability Co   
2119,178,12,Lloyd`s Brit                       ,Andover Insurance Company          
3499,1372,6,Hamilton Specialty Insurance Co.   ,Guard Insurance Group              
2119,1302,19,Lloyd`s Brit                       ,General Star National Insurance Co 
82,2651,1,GuideOne Insurance                 ,Endurance American Specialty Ins Co
4,1345,4,FFIC - Fireman`s Fund Insurance Co ,Kingstone Insurance Company EBHO   
2119,2181,15,Lloyd`s Brit                       ,American Coastal Insurance Company 
145,190,6,Lexington Risk Specialists         ,PMA Group                          
326,1182,3,Praetorian Insurance Company       ,Financial Pacific Insurance Co     
299,419,3,Mercer Insurance Group             ,Imperium Insurance Company         
331,1117,7,Preferred Mutual Insurance Company ,Trident Insurance Services         
90,1326,39,Allstate Insurance Company         ,Contractors Bonding and Ins Company
4,1395,10,FFIC - Fireman`s Fund Insurance Co ,Catlin Specialty Insurance Company 
146,1302,16,Commonwealth Insurance Company     ,General Star National Insurance Co 
141,4,4,New Hampshire Insurance Company    ,FFIC - Fireman`s Fund Insurance Co 
299,1153,1,Mercer Insurance Group             ,Housing and Redevelopment (HARIE)  
1219,2079,1,IAT Group                          ,MAG Mutual Insurance Company       
13,1302,23,Erie Insurance Group               ,General Star National Insurance Co 
134,197,4,Federated Insurance Group          ,Church Insurance Company           
96,368,35,Nationwide Insurance Co            ,Jewelers Mutual Insurance Co       
1219,53,13,IAT Group                          ,Harleysville Insurance Company     
209,1129,1,National American Insurance Company,OneBeacon                          
1196,1302,3,American Hallmark Insurance Co     ,General Star National Insurance Co 
1434,336,4,SPARTA Insurance                   ,SAFER - N. Calif Regional Liability
1219,1301,3,IAT Group                          ,Atlantic Casualty Insurance Company
2049,1372,7,Farmers Fire Insurance Company     ,Guard Insurance Group              
1144,1026,1,Pacific Property and Casualty Co   ,American National P&C Ins Group    
2187,2190,1,Kinsale Insurance Company          ,AmTrust Group                      
1026,118,5,American National P&C Ins Group    ,West Bend Mutual Insurance Company 
190,150,1,PMA Group                          ,Motorists Insurance Companies      
1042,312,8,Union Mutual Insurance Co.         ,Acuity                             
145,140,17,Lexington Risk Specialists         ,"Secura, A Mutual Co.               "
26,378,1,Great American Insurance Company   ,Hingham Mutual Fire Insurance Co   
66,1434,3,Central Mutual Insurance Co.       ,SPARTA Insurance                   
360,462,6,Magna Carta Companies              ,IMT Insurance Company              
1157,1395,19,Tower Insurance Company of NY      ,Catlin Specialty Insurance Company 
1279,326,2,White Pine (formerly Mid Continent),Praetorian Insurance Company       
1128,1218,13,Mapfre Insurance Company of Florida,Colony Insurance Company           
427,1184,15,Oregon Mutual Insurance Co         ,Argonaut Group                     
487,313,3,Mapfre USA                         ,Patrons Mutual Insurance Co of CT  
169,252,1,Capitol Indemnity Corporation      ,Mountain States Mutual Casualty Co 
145,240,4,Lexington Risk Specialists         ,Catholic Mutual Group              
120,82,4,Frankenmuth Mutual Insurance Co.   ,GuideOne Insurance                 
1010,350,9,State Automobile Mutual Ins.       ,Unigard Insurance Company          
27,1071,7,Allied Insurance                   ,Praetorian Insurance Company - NY  
2455,396,3,Inter Hannover                     ,"The Hanover Insurance Group, Inc.  "
116,207,1,Pekin Insurance Company            ,First Nonprofit Insurance Co.      
360,1100,7,Magna Carta Companies              ,Austin Mutual Insurance Group      
13,2106,4,Erie Insurance Group               ,Maxum Indemnity Company            
1434,146,1,SPARTA Insurance                   ,Commonwealth Insurance Company     
3472,2695,11,National Fire & Marine Insurance Co,Berkshire Hathaway Specialty Ins Co
27,2294,21,Allied Insurance                   ,Conifer Insurance Company          
90,2079,14,Allstate Insurance Company         ,MAG Mutual Insurance Company       
1469,1051,4,"Munich Reinsurance America, Inc    ",FCCI Insurance Company             
282,2190,6,Farm Family Insurance Companies    ,AmTrust Group                      
363,141,1,MMG Insurance Company              ,New Hampshire Insurance Company    
402,27,7,Utica First Insurance Company      ,Allied Insurance                   
383,63,8,Badger Mutual Insurance Co         ,Westfield Companies                
1469,306,1,"Munich Reinsurance America, Inc    ",Farmland-Nationwide Agribusiness   
134,1154,29,Federated Insurance Group          ,Michigan Insurance Company         
368,341,3,Jewelers Mutual Insurance Co       ,American Home Assurance Co.        
252,1326,10,Mountain States Mutual Casualty Co ,Contractors Bonding and Ins Company
178,282,4,Andover Insurance Company          ,Farm Family Insurance Companies    
141,36,11,New Hampshire Insurance Company    ,Employers Mutual Casualty          
116,1184,3,Pekin Insurance Company            ,Argonaut Group                     
181,1042,2,HDI Global Insurance Company       ,Union Mutual Insurance Co.         
2190,1301,10,AmTrust Group                      ,Atlantic Casualty Insurance Company
66,383,8,Central Mutual Insurance Co.       ,Badger Mutual Insurance Co         
256,360,2,Great American Custom Insurance    ,Magna Carta Companies              
118,2402,2,West Bend Mutual Insurance Company ,American Resources Insurance Co Inc
1333,54,9,The Dentists Insurance Company     ,Selective Insurance Group          
2294,2106,1,Conifer Insurance Company          ,Maxum Indemnity Company            
178,169,6,Andover Insurance Company          ,Capitol Indemnity Corporation      
1326,360,1,Contractors Bonding and Ins Company,Magna Carta Companies              
13,2406,1,Erie Insurance Group               ,Brit US                            
3499,3971,5,Hamilton Specialty Insurance Co.   ,Tower Hill Prime Insurance Group   
54,1133,5,Selective Insurance Group          ,Aspen Specialty Insurance Company  
1051,118,15,FCCI Insurance Company             ,West Bend Mutual Insurance Company 
2402,1179,3,American Resources Insurance Co Inc,Republic Underwriters Insurance Co 
90,1026,3,Allstate Insurance Company         ,American National P&C Ins Group    
310,134,7,Sequoia Insurance Company          ,Federated Insurance Group          
2114,4,2,Munich SID Alt Market Risks - AAIC ,FFIC - Fireman`s Fund Insurance Co 
360,134,2,Magna Carta Companies              ,Federated Insurance Group          
2651,116,2,Endurance American Specialty Ins Co,Pekin Insurance Company            
312,2210,1,Acuity                             ,State Fire and Tornado Fund (ND)   
256,118,1,Great American Custom Insurance    ,West Bend Mutual Insurance Company 
54,4018,1,Selective Insurance Group          ,Atain Specialty Insurance Company  
4018,54,1,Atain Specialty Insurance Company  ,Selective Insurance Group          
324,150,6,Western Heritage Insurance Company ,Motorists Insurance Companies      
169,3615,3,Capitol Indemnity Corporation      ,Zurich Direct                      
111,1469,8,Donegal Mutual Insurance Company   ,"Munich Reinsurance America, Inc    "
282,1219,2,Farm Family Insurance Companies    ,IAT Group                          
140,1128,1,"Secura, A Mutual Co.               ",Mapfre Insurance Company of Florida
396,3971,7,"The Hanover Insurance Group, Inc.  ",Tower Hill Prime Insurance Group   
1219,1326,1,IAT Group                          ,Contractors Bonding and Ins Company
190,114,1,PMA Group                          ,Merchants Insurance Group          
312,1179,2,Acuity                             ,Republic Underwriters Insurance Co 
77,3971,5,State Farm Fire & Casualty Co.     ,Tower Hill Prime Insurance Group   
120,341,7,Frankenmuth Mutual Insurance Co.   ,American Home Assurance Co.        
1129,141,6,OneBeacon                          ,New Hampshire Insurance Company    
2108,1218,1,Mercury Insurance Company          ,Colony Insurance Company           
1117,134,2,Trident Insurance Services         ,Federated Insurance Group          
1266,51,3,United Farm Family - EB HO & HSP   ,Penn National Insurance Company    
384,324,3,Grinnell Mutual Reinsurance Co     ,Western Heritage Insurance Company 
3615,53,3,Zurich Direct                      ,Harleysville Insurance Company     
197,141,3,Church Insurance Company           ,New Hampshire Insurance Company    
2058,2363,1,"Canopius US Insurance, Inc (Omega) ",Eastern Mutual Insurance Company   
1469,331,3,"Munich Reinsurance America, Inc    ",Preferred Mutual Insurance Company 
1110,1284,3,Alaska National Insurance Company  ,AMERIND Risk Management Corporation
90,306,1,Allstate Insurance Company         ,Farmland-Nationwide Agribusiness   
27,2344,2,Allied Insurance                   ,Houston Casualty Company           
368,82,1,Jewelers Mutual Insurance Co       ,GuideOne Insurance                 
2190,2179,5,AmTrust Group                      ,BITCO Insurance Company            
312,363,5,Acuity                             ,MMG Insurance Company              
1227,169,2,Western Reserve Mutual Casualty    ,Capitol Indemnity Corporation      
2110,326,2,Munich Re - Surplus                ,Praetorian Insurance Company       
331,360,9,Preferred Mutual Insurance Company ,Magna Carta Companies              
1301,1042,5,Atlantic Casualty Insurance Company,Union Mutual Insurance Co.         
111,1219,4,Donegal Mutual Insurance Company   ,IAT Group                          
306,310,1,Farmland-Nationwide Agribusiness   ,Sequoia Insurance Company          
66,1184,2,Central Mutual Insurance Co.       ,Argonaut Group                     
324,2108,3,Western Heritage Insurance Company ,Mercury Insurance Company          
299,150,1,Mercer Insurance Group             ,Motorists Insurance Companies      
2455,1036,2,Inter Hannover                     ,Everest National Insurance Company 
1133,54,4,Aspen Specialty Insurance Company  ,Selective Insurance Group          
134,1279,3,Federated Insurance Group          ,White Pine (formerly Mid Continent)
378,226,1,Hingham Mutual Fire Insurance Co   ,Ohio Mutual Insurance Group        
207,63,6,First Nonprofit Insurance Co.      ,Westfield Companies                
27,336,2,Allied Insurance                   ,SAFER - N. Calif Regional Liability
1196,2106,1,American Hallmark Insurance Co     ,Maxum Indemnity Company            
370,2242,1,Rockford Mutual Insurance Company  ,Western World Insurance Group      
90,1051,3,Allstate Insurance Company         ,FCCI Insurance Company             
1100,2110,5,Austin Mutual Insurance Group      ,Munich Re - Surplus                
1469,1326,1,"Munich Reinsurance America, Inc    ",Contractors Bonding and Ins Company
313,326,2,Patrons Mutual Insurance Co of CT  ,Praetorian Insurance Company       
2230,77,2,ProSight Specialty Insurance       ,State Farm Fire & Casualty Co.     
1179,326,1,Republic Underwriters Insurance Co ,Praetorian Insurance Company       
1434,2294,1,SPARTA Insurance                   ,Conifer Insurance Company          
26,3605,1,Great American Insurance Company   ,Berkshire Hathaway Direct Insurance
210,339,1,Mutual Benefit Insurance Company   ,RLI Insurance Company              
339,210,1,RLI Insurance Company              ,Mutual Benefit Insurance Company   
462,1129,1,IMT Insurance Company              ,OneBeacon                          
1036,1072,3,Everest National Insurance Company ,AXIS Insurance Company             
1110,1434,1,Alaska National Insurance Company  ,SPARTA Insurance                   
1302,382,4,General Star National Insurance Co ,Hudson Insurance Company           
90,1301,4,Allstate Insurance Company         ,Atlantic Casualty Insurance Company
145,299,1,Lexington Risk Specialists         ,Mercer Insurance Group             
293,341,1,ALFA Alliance Insurance Corporation,American Home Assurance Co.        
181,360,1,HDI Global Insurance Company       ,Magna Carta Companies              
337,338,2,SAFER - S. Calif Regional Liability,SAFER-Statewide Assoc Comm Colleges
370,26,4,Rockford Mutual Insurance Company  ,Great American Insurance Company   
1302,111,2,General Star National Insurance Co ,Donegal Mutual Insurance Company   
1301,360,1,Atlantic Casualty Insurance Company,Magna Carta Companies              
383,2119,2,Badger Mutual Insurance Co         ,Lloyd`s Brit                       
1185,1284,1,General Casualty WI (and/or Regent),AMERIND Risk Management Corporation
487,197,1,Mapfre USA                         ,Church Insurance Company           
312,1279,1,Acuity                             ,White Pine (formerly Mid Continent)
66,207,3,Central Mutual Insurance Co.       ,First Nonprofit Insurance Co.      
2038,240,4,WRM America Indemnity Company      ,Catholic Mutual Group              
2085,2114,3,Washington Rural Counties Ins WRCIP,Munich SID Alt Market Risks - AAIC 
1036,3971,1,Everest National Insurance Company ,Tower Hill Prime Insurance Group   
324,344,1,Western Heritage Insurance Company ,Farm Bureau Mutual Ins Co of Mich  
1227,382,2,Western Reserve Mutual Casualty    ,Hudson Insurance Company           
1219,306,1,IAT Group                          ,Farmland-Nationwide Agribusiness   
1301,118,2,Atlantic Casualty Insurance Company,West Bend Mutual Insurance Company 
1110,2695,2,Alaska National Insurance Company  ,Berkshire Hathaway Specialty Ins Co
368,1366,1,Jewelers Mutual Insurance Co       ,Alterra                            
2106,382,2,Maxum Indemnity Company            ,Hudson Insurance Company           
1157,317,3,Tower Insurance Company of NY      ,Regis Insurance Company            
36,317,1,Employers Mutual Casualty          ,Regis Insurance Company            
2079,1042,1,MAG Mutual Insurance Company       ,Union Mutual Insurance Co.         
1184,2119,4,Argonaut Group                     ,Lloyd`s Brit                       
90,406,1,Allstate Insurance Company         ,Mitsui Sumitomo Ins Co of America  
1185,1434,4,General Casualty WI (and/or Regent),SPARTA Insurance                   
3615,406,2,Zurich Direct                      ,Mitsui Sumitomo Ins Co of America  
402,1434,2,Utica First Insurance Company      ,SPARTA Insurance                   
134,57,1,Federated Insurance Group          ,Colorado Spec Dist P&L Pool CSD    
2460,141,2,QBE Specialty Insurance Company    ,New Hampshire Insurance Company    
1469,381,2,"Munich Reinsurance America, Inc    ",Arbella Protection Ins Co          
2106,111,1,Maxum Indemnity Company            ,Donegal Mutual Insurance Company   
144,2190,2,Peninsula Insurance Company        ,AmTrust Group                      
2262,90,1,Springfield Insurance Company      ,Allstate Insurance Company         
141,1157,1,New Hampshire Insurance Company    ,Tower Insurance Company of NY      
252,53,1,Mountain States Mutual Casualty Co ,Harleysville Insurance Company     
363,326,1,MMG Insurance Company              ,Praetorian Insurance Company       
4,2217,1,FFIC - Fireman`s Fund Insurance Co ,Knight Insurance Group             
419,1218,1,Imperium Insurance Company         ,Colony Insurance Company           
383,2344,1,Badger Mutual Insurance Co         ,Houston Casualty Company           
1219,331,1,IAT Group                          ,Preferred Mutual Insurance Company 
174,3605,1,E&S / Specialty                    ,Berkshire Hathaway Direct Insurance
63,350,2,Westfield Companies                ,Unigard Insurance Company          
487,1129,1,Mapfre USA                         ,OneBeacon                          
1434,2119,1,SPARTA Insurance                   ,Lloyd`s Brit                       
1042,134,2,Union Mutual Insurance Co.         ,Federated Insurance Group          
1117,312,1,Trident Insurance Services         ,Acuity                             
2038,299,1,WRM America Indemnity Company      ,Mercer Insurance Group             
416,2651,1,Fremont Insurance Company          ,Endurance American Specialty Ins Co
26,2039,1,Great American Insurance Company   ,Ironshore                          
134,3685,1,Federated Insurance Group          ,CM Vantage Specialty Insurance Co  
27,1196,1,Allied Insurance                   ,American Hallmark Insurance Co     
1098,150,1,Stonington Insurance Company       ,Motorists Insurance Companies      
120,1266,1,Frankenmuth Mutual Insurance Co.   ,United Farm Family - EB HO & HSP   
1133,339,1,Aspen Specialty Insurance Company  ,RLI Insurance Company              
114,2363,1,Merchants Insurance Group          ,Eastern Mutual Insurance Company   
2190,2079,1,AmTrust Group                      ,MAG Mutual Insurance Company       
427,1434,1,Oregon Mutual Insurance Co         ,SPARTA Insurance                   
383,1071,1,Badger Mutual Insurance Co         ,Praetorian Insurance Company - NY  
209,1179,1,National American Insurance Company,Republic Underwriters Insurance Co 
312,197,1,Acuity                             ,Church Insurance Company           
324,114,1,Western Heritage Insurance Company ,Merchants Insurance Group          
3170,2119,1,Samsung Fire & Marine Insurance Co ,Lloyd`s Brit                       
226,1072,1,Ohio Mutual Insurance Group        ,AXIS Insurance Company             
96,318,1,Nationwide Insurance Co            ,Safety Insurance Company           
382,90,2,Hudson Insurance Company           ,Allstate Insurance Company         
1026,3886,1,American National P&C Ins Group    ,"Velocity Risk Underwriters, LLC    "
1133,2318,1,Aspen Specialty Insurance Company  ,Starr Indemnity and Liability Co   
120,54,677,Frankenmuth Mutual Insurance Co.   ,Selective Insurance Group          
1185,53,593,General Casualty WI (and/or Regent),Harleysville Insurance Company     
1395,2339,8933,Catlin Specialty Insurance Company ,Markel Insurance Company           
